bs,s1,a1,s2,a2,pfn,pfm,mr1,mr2
32,1024,1,0,0,0,0,0.1935,0.0000
32,1024,2,0,0,0,0,0.1560,0.0000
32,1024,4,0,0,0,0,0.1427,0.0000
32,1024,8,0,0,0,0,0.1363,0.0000
32,1024,32,0,0,0,0,0.1370,0.0000
32,2048,1,0,0,0,0,0.1477,0.0000
32,2048,2,0,0,0,0,0.1071,0.0000
32,2048,4,0,0,0,0,0.0962,0.0000
32,2048,8,0,0,0,0,0.0907,0.0000
32,2048,64,0,0,0,0,0.0886,0.0000
32,4096,1,0,0,0,0,0.1002,0.0000
32,4096,2,0,0,0,0,0.0753,0.0000
32,4096,4,0,0,0,0,0.0599,0.0000
32,4096,8,0,0,0,0,0.0536,0.0000
32,4096,128,0,0,0,0,0.0495,0.0000
32,8192,1,0,0,0,0,0.0670,0.0000
32,8192,2,0,0,0,0,0.0473,0.0000
32,8192,4,0,0,0,0,0.0425,0.0000
32,8192,8,0,0,0,0,0.0395,0.0000
32,8192,256,0,0,0,0,0.0391,0.0000
32,16384,1,0,0,0,0,0.0461,0.0000
32,16384,2,0,0,0,0,0.0338,0.0000
32,16384,4,0,0,0,0,0.0283,0.0000
32,16384,8,0,0,0,0,0.0277,0.0000
32,16384,512,0,0,0,0,0.0263,0.0000
32,32768,1,0,0,0,0,0.0377,0.0000
32,32768,2,0,0,0,0,0.0288,0.0000
32,32768,4,0,0,0,0,0.0264,0.0000
32,32768,8,0,0,0,0,0.0262,0.0000
32,32768,1024,0,0,0,0,0.0262,0.0000
32,65536,1,0,0,0,0,0.0329,0.0000
32,65536,2,0,0,0,0,0.0271,0.0000
32,65536,4,0,0,0,0,0.0259,0.0000
32,65536,8,0,0,0,0,0.0259,0.0000
32,65536,2048,0,0,0,0,0.0258,0.0000
32,131072,1,0,0,0,0,0.0323,0.0000
32,131072,2,0,0,0,0,0.0259,0.0000
32,131072,4,0,0,0,0,0.0258,0.0000
32,131072,8,0,0,0,0,0.0258,0.0000
32,131072,4096,0,0,0,0,0.0258,0.0000
32,262144,1,0,0,0,0,0.0258,0.0000
32,262144,2,0,0,0,0,0.0258,0.0000
32,262144,4,0,0,0,0,0.0258,0.0000
32,262144,8,0,0,0,0,0.0258,0.0000
32,262144,8192,0,0,0,0,0.0258,0.0000
32,524288,1,0,0,0,0,0.0258,0.0000
32,524288,2,0,0,0,0,0.0258,0.0000
32,524288,4,0,0,0,0,0.0258,0.0000
32,524288,8,0,0,0,0,0.0258,0.0000
32,524288,16384,0,0,0,0,0.0258,0.0000
32,1048576,1,0,0,0,0,0.0258,0.0000
32,1048576,2,0,0,0,0,0.0258,0.0000
32,1048576,4,0,0,0,0,0.0258,0.0000
32,1048576,8,0,0,0,0,0.0258,0.0000
32,1048576,32768,0,0,0,0,0.0258,0.0000
32,1024,1,16384,8,0,0,0.1935,0.1434
32,1024,2,16384,8,0,0,0.1560,0.1775
32,1024,4,16384,8,0,0,0.1427,0.1941
32,1024,8,16384,8,0,0,0.1363,0.2036
32,1024,32,16384,8,0,0,0.1370,0.2028
32,2048,1,16384,8,0,0,0.1477,0.1878
32,2048,2,16384,8,0,0,0.1071,0.2585
32,2048,4,16384,8,0,0,0.0962,0.2879
32,2048,8,16384,8,0,0,0.0907,0.3053
32,2048,64,16384,8,0,0,0.0886,0.3126
32,4096,1,16384,8,0,0,0.1002,0.2763
32,4096,2,16384,8,0,0,0.0753,0.3688
32,4096,4,16384,8,0,0,0.0599,0.4598
32,4096,8,16384,8,0,0,0.0536,0.5131
32,4096,128,16384,8,0,0,0.0495,0.5456
32,8192,1,16384,8,0,0,0.0670,0.3967
32,8192,2,16384,8,0,0,0.0473,0.5714
32,8192,4,16384,8,0,0,0.0425,0.6461
32,8192,8,16384,8,0,0,0.0395,0.6697
32,8192,256,16384,8,0,0,0.0391,0.6746
16,1024,4,0,0,0,0,0.1473,0.0000
16,2048,4,0,0,0,0,0.1062,0.0000
16,4096,4,0,0,0,0,0.0755,0.0000
16,8192,4,0,0,0,0,0.0595,0.0000
16,16384,4,0,0,0,0,0.0482,0.0000
16,32768,4,0,0,0,0,0.0475,0.0000
32,1024,4,0,0,0,0,0.1427,0.0000
32,2048,4,0,0,0,0,0.0962,0.0000
32,4096,4,0,0,0,0,0.0599,0.0000
32,8192,4,0,0,0,0,0.0425,0.0000
32,16384,4,0,0,0,0,0.0283,0.0000
32,32768,4,0,0,0,0,0.0264,0.0000
64,1024,4,0,0,0,0,0.1584,0.0000
64,2048,4,0,0,0,0,0.1033,0.0000
64,4096,4,0,0,0,0,0.0619,0.0000
64,8192,4,0,0,0,0,0.0386,0.0000
64,16384,4,0,0,0,0,0.0204,0.0000
64,32768,4,0,0,0,0,0.0156,0.0000
128,1024,4,0,0,0,0,0.2036,0.0000
128,2048,4,0,0,0,0,0.1334,0.0000
128,4096,4,0,0,0,0,0.0830,0.0000
128,8192,4,0,0,0,0,0.0483,0.0000
128,16384,4,0,0,0,0,0.0198,0.0000
128,32768,4,0,0,0,0,0.0111,0.0000
32,1024,4,16384,8,0,0,0.1427,0.1941
32,1024,4,32768,8,0,0,0.1427,0.1840
32,1024,4,65536,8,0,0,0.1427,0.1814
32,2048,4,16384,8,0,0,0.0962,0.2879
32,2048,4,32768,8,0,0,0.0962,0.2728
32,2048,4,65536,8,0,0,0.0962,0.2691
32,4096,4,16384,8,0,0,0.0599,0.4598
32,4096,4,32768,8,0,0,0.0599,0.4381
32,4096,4,65536,8,0,0,0.0599,0.4326
32,8192,4,16384,8,0,0,0.0425,0.6461
32,8192,4,32768,8,0,0,0.0425,0.6181
32,8192,4,65536,8,0,0,0.0425,0.6105
16,1024,1,0,0,0,4,0.2500,0.0000
16,1024,1,0,0,1,4,0.2500,0.0000
16,1024,1,0,0,2,4,0.2500,0.0000
16,1024,1,0,0,3,4,0.0010,0.0000
16,1024,1,0,0,4,4,0.0010,0.0000
16,1024,1,0,0,0,4,0.2500,0.0000
16,1024,1,0,0,1,4,0.2500,0.0000
16,1024,1,0,0,2,4,0.2500,0.0000
16,1024,1,0,0,3,4,0.0010,0.0000
16,1024,1,0,0,4,4,0.0010,0.0000
16,1024,2,0,0,0,4,0.2500,0.0000
16,1024,2,0,0,1,4,0.2500,0.0000
16,1024,2,0,0,2,4,0.2500,0.0000
16,1024,2,0,0,3,4,0.0010,0.0000
16,1024,2,0,0,4,4,0.0010,0.0000
16,1024,4,0,0,0,4,0.2500,0.0000
16,1024,4,0,0,1,4,0.2500,0.0000
16,1024,4,0,0,2,4,0.2500,0.0000
16,1024,4,0,0,3,4,0.0010,0.0000
16,1024,4,0,0,4,4,0.0010,0.0000
16,1024,8,0,0,0,4,0.2500,0.0000
16,1024,8,0,0,1,4,0.2500,0.0000
16,1024,8,0,0,2,4,0.2500,0.0000
16,1024,8,0,0,3,4,0.0010,0.0000
16,1024,8,0,0,4,4,0.0010,0.0000
16,1024,64,0,0,4,4,0.0010,0.0000
16,2048,1,0,0,0,4,0.2500,0.0000
16,2048,1,0,0,1,4,0.2500,0.0000
16,2048,1,0,0,2,4,0.2500,0.0000
16,2048,1,0,0,3,4,0.0010,0.0000
16,2048,1,0,0,4,4,0.0010,0.0000
16,2048,2,0,0,0,4,0.2500,0.0000
16,2048,2,0,0,1,4,0.2500,0.0000
16,2048,2,0,0,2,4,0.2500,0.0000
16,2048,2,0,0,3,4,0.0010,0.0000
16,2048,2,0,0,4,4,0.0010,0.0000
16,2048,4,0,0,0,4,0.2500,0.0000
16,2048,4,0,0,1,4,0.2500,0.0000
16,2048,4,0,0,2,4,0.2500,0.0000
16,2048,4,0,0,3,4,0.0010,0.0000
16,2048,4,0,0,4,4,0.0010,0.0000
16,2048,8,0,0,0,4,0.2500,0.0000
16,2048,8,0,0,1,4,0.2500,0.0000
16,2048,8,0,0,2,4,0.2500,0.0000
16,2048,8,0,0,3,4,0.0010,0.0000
16,2048,8,0,0,4,4,0.0010,0.0000
16,2048,128,0,0,4,4,0.0010,0.0000
16,4096,1,0,0,0,4,0.2500,0.0000
16,4096,1,0,0,1,4,0.2500,0.0000
16,4096,1,0,0,2,4,0.2500,0.0000
16,4096,1,0,0,3,4,0.0010,0.0000
16,4096,1,0,0,4,4,0.0010,0.0000
16,4096,2,0,0,0,4,0.2500,0.0000
16,4096,2,0,0,1,4,0.2500,0.0000
16,4096,2,0,0,2,4,0.2500,0.0000
16,4096,2,0,0,3,4,0.0010,0.0000
16,4096,2,0,0,4,4,0.0010,0.0000
16,4096,4,0,0,0,4,0.2500,0.0000
16,4096,4,0,0,1,4,0.2500,0.0000
16,4096,4,0,0,2,4,0.2500,0.0000
16,4096,4,0,0,3,4,0.0010,0.0000
16,4096,4,0,0,4,4,0.0010,0.0000
16,4096,8,0,0,0,4,0.2500,0.0000
16,4096,8,0,0,1,4,0.2500,0.0000
16,4096,8,0,0,2,4,0.2500,0.0000
16,4096,8,0,0,3,4,0.0010,0.0000
16,4096,8,0,0,4,4,0.0010,0.0000
16,4096,256,0,0,4,4,0.0010,0.0000
16,8192,1,0,0,0,4,0.2500,0.0000
16,8192,1,0,0,1,4,0.2500,0.0000
16,8192,1,0,0,2,4,0.2500,0.0000
16,8192,1,0,0,3,4,0.0010,0.0000
16,8192,1,0,0,4,4,0.0010,0.0000
16,8192,2,0,0,0,4,0.2500,0.0000
16,8192,2,0,0,1,4,0.2500,0.0000
16,8192,2,0,0,2,4,0.2500,0.0000
16,8192,2,0,0,3,4,0.0010,0.0000
16,8192,2,0,0,4,4,0.0010,0.0000
16,8192,4,0,0,0,4,0.2500,0.0000
16,8192,4,0,0,1,4,0.2500,0.0000
16,8192,4,0,0,2,4,0.2500,0.0000
16,8192,4,0,0,3,4,0.0010,0.0000
16,8192,4,0,0,4,4,0.0010,0.0000
16,8192,8,0,0,0,4,0.2500,0.0000
16,8192,8,0,0,1,4,0.2500,0.0000
16,8192,8,0,0,2,4,0.2500,0.0000
16,8192,8,0,0,3,4,0.0010,0.0000
16,8192,8,0,0,4,4,0.0010,0.0000
16,8192,512,0,0,4,4,0.0010,0.0000
16,16384,1,0,0,0,4,0.2500,0.0000
16,16384,1,0,0,1,4,0.2500,0.0000
16,16384,1,0,0,2,4,0.2500,0.0000
16,16384,1,0,0,3,4,0.0010,0.0000
16,16384,1,0,0,4,4,0.0010,0.0000
16,16384,2,0,0,0,4,0.2500,0.0000
16,16384,2,0,0,1,4,0.2500,0.0000
16,16384,2,0,0,2,4,0.2500,0.0000
16,16384,2,0,0,3,4,0.0010,0.0000
16,16384,2,0,0,4,4,0.0010,0.0000
16,16384,4,0,0,0,4,0.2500,0.0000
16,16384,4,0,0,1,4,0.2500,0.0000
16,16384,4,0,0,2,4,0.2500,0.0000
16,16384,4,0,0,3,4,0.0010,0.0000
16,16384,4,0,0,4,4,0.0010,0.0000
16,16384,8,0,0,0,4,0.2500,0.0000
16,16384,8,0,0,1,4,0.2500,0.0000
16,16384,8,0,0,2,4,0.2500,0.0000
16,16384,8,0,0,3,4,0.0010,0.0000
16,16384,8,0,0,4,4,0.0010,0.0000
16,16384,1024,0,0,4,4,0.0010,0.0000
16,32768,1,0,0,0,4,0.2500,0.0000
16,32768,1,0,0,1,4,0.2500,0.0000
16,32768,1,0,0,2,4,0.2500,0.0000
16,32768,1,0,0,3,4,0.0010,0.0000
16,32768,1,0,0,4,4,0.0010,0.0000
16,32768,2,0,0,0,4,0.2500,0.0000
16,32768,2,0,0,1,4,0.2500,0.0000
16,32768,2,0,0,2,4,0.2500,0.0000
